,Lat,Lng,City,CityClean,Country,Temperature,Latitude,Longitude,Percent Humidity,Percent Cloudiness,Wind Speed (mph)
102,81.86600596785959,-48.85429764289336,Upernavik,upernavik,GL,7.97,72.79,-56.15,69.0,1.0,6.82
105,-59.44226029305618,-1.612426534077855,Cape Town,cape%20town,ZA,60.67,-33.93,18.42,93.0,75.0,5.82
106,-9.867398936644449,-30.426892311660595,Olinda,olinda,EC,85.06,-2.03,-79.75,74.0,75.0,5.82
109,42.94097900254005,152.18902103805158,sentyabrskiy,sentyabrskiy,,,,,,,
111,-14.125518908089944,-135.32831003079013,Atuona,atuona,PF,83.57,-9.8,-139.03,72.0,30.0,10.42
114,-22.300639911505087,-154.70720389576903,Avera,avera,US,70.48,33.19,-82.53,88.0,90.0,17.22
115,-24.47177678109898,-75.32531161425327,Taltal,taltal,CL,68.45,-25.41,-70.49,61.0,0.0,8.84
116,42.045354997510685,166.29124400398752,Nikolskoye,nikolskoye,RU,49.93,59.7,30.79,43.0,0.0,11.18
117,-5.9315657674082445,-175.8736898236196,vaitupu,vaitupu,,,,,,,
120,9.379966467040617,77.68778922051843,Rajapalaiyam,rajapalaiyam,IN,82.13,9.45,77.55,65.0,97.0,3.24
124,44.624845325034414,130.87569107865994,Suifenhe,suifenhe,CN,29.39,44.39,131.16,39.0,0.0,2.26
127,37.128259945203254,-76.20046841453804,Poquoson,poquoson,US,75.38,37.12,-76.35,88.0,75.0,10.29
128,-25.934105060602533,-156.671740359011,Avarua,avarua,CK,73.4,-21.21,-159.78,73.0,98.0,11.41
130,17.947865310942788,-40.38261635593753,Ponta do Sol,ponta%20do%20sol,BR,77.09,-20.63,-46.0,53.0,0.0,6.2
131,20.688200769347134,106.58832483667743,hai phong,hai%20phong,,,,,,,
132,75.19506039591144,177.07165305564502,Leningradskiy,leningradskiy,RU,-0.86,69.38,178.42,95.0,26.0,5.14
134,-6.757500487186661,45.29036670191266,Mitsamiouli,mitsamiouli,KM,84.83,-11.38,43.28,75.0,2.0,12.46
135,88.83849265548275,-38.35256586420272,Tasiilaq,tasiilaq,GL,39.2,65.61,-37.64,81.0,75.0,5.75
138,30.864001987405032,-135.79454347894594,Half Moon Bay,half%20moon%20bay,US,69.01,37.46,-122.43,72.0,75.0,10.29
140,-4.717635408090146,33.64614647392324,Igunga,igunga,TZ,71.15,-4.28,33.88,64.0,68.0,5.79
144,-42.045375741981175,-28.332032099404103,Arraial do Cabo,arraial%20do%20cabo,BR,81.54,-22.97,-42.02,74.0,0.0,13.87
145,55.6360836279153,131.26503489140202,stoyba,stoyba,,,,,,,
147,-34.80387546182734,45.421567365137264,tsihombe,tsihombe,,,,,,,
148,70.24656859964702,170.6368541287954,Pevek,pevek,RU,9.59,69.7,170.27,92.0,100.0,13.56
149,55.521488476124205,80.38143898215446,Kargat,kargat,RU,26.87,55.19,80.28,71.0,81.0,4.56
150,-72.0767953443845,109.77710356948154,Albany,albany,US,71.96,42.65,-73.75,50.0,75.0,17.22
152,72.8481152084484,69.07558018375548,Yar-Sale,yar-sale,RU,19.31,66.83,70.83,91.0,91.0,13.24
154,16.974635594061567,152.4642979257129,Kavieng,kavieng,PG,83.57,-2.57,150.8,76.0,100.0,9.37
